epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.743,1.54496,1.74796,1.81675,0.50891,0.50451,0.51398,0.2144,1.97975,1.98391,2.40892,0.0683684,0.00166482,0.00166482
2,348.36,1.40696,1.3653,1.72117,0.61088,0.64282,0.62742,0.38442,1.57211,1.19979,1.8667,0.036701,0.00333067,0.00333067
3,513.94,1.32604,1.2087,1.64545,0.76469,0.64542,0.75574,0.49197,1.31878,0.95082,1.684,0.00503023,0.00499327,0.00499327
4,678.464,1.26975,1.11146,1.59452,0.80687,0.62722,0.75615,0.49626,1.33517,0.92475,1.6795,0.00498902,0.00498902,0.00498902
5,842.454,1.22699,1.0516,1.55502,0.76367,0.70838,0.73339,0.50747,1.2653,0.86347,1.61116,0.00498048,0.00498048,0.00498048
6,1008.33,1.19479,0.99252,1.51961,0.73275,0.7739,0.80093,0.54197,1.2907,0.84913,1.62098,0.00496953,0.00496953,0.00496953
7,1173.69,1.17172,0.96294,1.5039,0.85053,0.64387,0.75123,0.53476,1.18981,0.81789,1.53181,0.00495616,0.00495616,0.00495616
8,1338.26,1.14377,0.92191,1.48167,0.79444,0.71832,0.79528,0.55963,1.27649,0.78381,1.62675,0.00494039,0.00494039,0.00494039
9,1501.97,1.12568,0.9098,1.47108,0.88293,0.70951,0.7566,0.52791,1.40039,0.81586,1.717,0.00492224,0.00492224,0.00492224
10,1664.84,1.10422,0.87567,1.44791,0.84485,0.74734,0.77873,0.56217,1.11743,0.7354,1.4915,0.00490173,0.00490173,0.00490173
11,1826.41,1.09124,0.85738,1.43469,0.86278,0.71736,0.80272,0.55929,1.2505,0.74811,1.59632,0.00487886,0.00487886,0.00487886
12,1987.04,1.08528,0.84772,1.42823,0.85754,0.71658,0.7903,0.56451,1.14747,0.72141,1.50859,0.00485368,0.00485368,0.00485368
13,2146.32,1.06823,0.82922,1.41567,0.8782,0.72373,0.77093,0.57721,1.08616,0.73401,1.44559,0.0048262,0.0048262,0.0048262
14,2308.2,1.05006,0.80499,1.39829,0.86027,0.70526,0.82263,0.59435,1.18324,0.73719,1.52108,0.00479644,0.00479644,0.00479644
15,2471.78,1.03573,0.79567,1.37881,0.87695,0.6936,0.82092,0.59911,1.11344,0.70409,1.44736,0.00476445,0.00476445,0.00476445
16,2635.26,1.02799,0.78809,1.37797,0.8719,0.79533,0.8148,0.60899,1.06485,0.69065,1.4303,0.00473024,0.00473024,0.00473024
17,2796.72,1.01834,0.77247,1.37047,0.88429,0.7292,0.82112,0.58666,1.10733,0.69612,1.44382,0.00469386,0.00469386,0.00469386
18,2961.59,1.02252,0.78223,1.37214,0.8072,0.73394,0.7899,0.60445,1.04355,0.67616,1.4261,0.00465534,0.00465534,0.00465534
19,3123.9,1.00435,0.75783,1.35103,0.88492,0.73784,0.7933,0.60132,1.06878,0.66515,1.42748,0.00461471,0.00461471,0.00461471
20,3281.27,0.98944,0.74549,1.34781,0.80427,0.81822,0.8089,0.60944,1.04525,0.66022,1.42365,0.00457202,0.00457202,0.00457202
21,3441.62,0.98294,0.72756,1.34049,0.86662,0.73478,0.76944,0.58457,1.07079,0.67087,1.4366,0.00452732,0.00452732,0.00452732
22,3606.4,0.97804,0.74079,1.33361,0.93727,0.72947,0.80258,0.58845,1.25039,0.69719,1.57066,0.00448063,0.00448063,0.00448063
23,3767.24,0.96813,0.72176,1.32497,0.85463,0.75809,0.80501,0.63417,1.03885,0.65463,1.40346,0.00443202,0.00443202,0.00443202
24,3925.47,0.94845,0.70648,1.31557,0.91523,0.74098,0.80617,0.60815,1.0833,0.65461,1.41256,0.00438152,0.00438152,0.00438152
25,4084.58,0.94845,0.69842,1.31602,0.91509,0.73339,0.81365,0.63347,0.99985,0.62427,1.36474,0.0043292,0.0043292,0.0043292
26,4241.39,0.94257,0.70016,1.31076,0.86236,0.75773,0.79264,0.6006,1.06828,0.64108,1.41147,0.00427509,0.00427509,0.00427509
27,4399.32,0.94111,0.69461,1.31064,0.89571,0.74369,0.80788,0.62165,1.07944,0.63427,1.4285,0.00421925,0.00421925,0.00421925
28,4565.27,0.93217,0.68965,1.30469,0.89865,0.74295,0.80289,0.63365,0.97361,0.60936,1.34424,0.00416175,0.00416175,0.00416175
29,4729.61,0.91938,0.68342,1.28741,0.90135,0.7292,0.79131,0.6295,0.98541,0.63793,1.35063,0.00410262,0.00410262,0.00410262
30,4894.37,0.92381,0.67851,1.29351,0.78223,0.81068,0.83564,0.63317,1.01311,0.63019,1.35236,0.00404194,0.00404194,0.00404194
31,5058.61,0.90608,0.65881,1.26775,0.9044,0.74921,0.80436,0.63665,0.97445,0.61494,1.33781,0.00397977,0.00397977,0.00397977
32,5219.88,0.90676,0.66709,1.28403,0.91578,0.73997,0.80703,0.6376,0.9752,0.62158,1.32754,0.00391616,0.00391616,0.00391616
33,5372.66,0.90349,0.65886,1.27316,0.92063,0.73713,0.7905,0.61874,1.04322,0.62263,1.39494,0.00385117,0.00385117,0.00385117
34,5527.31,0.90492,0.65757,1.28113,0.84649,0.77541,0.80362,0.63921,0.96651,0.61583,1.33659,0.00378488,0.00378488,0.00378488
35,5683.79,0.8846,0.64471,1.25736,0.85201,0.80667,0.82074,0.63973,0.96483,0.59525,1.31492,0.00371734,0.00371734,0.00371734
36,5840.01,0.88068,0.6459,1.26241,0.89435,0.79618,0.8721,0.66641,0.95302,0.59717,1.31877,0.00364863,0.00364863,0.00364863
37,5997.05,0.88022,0.63762,1.25086,0.9241,0.73739,0.81456,0.64147,0.96419,0.59937,1.31077,0.0035788,0.0035788,0.0035788
38,6154.34,0.87231,0.63387,1.24816,0.89439,0.75652,0.84129,0.66695,0.93469,0.5976,1.30596,0.00350794,0.00350794,0.00350794
39,6311.62,0.87403,0.62714,1.24932,0.92435,0.73397,0.81236,0.65479,0.9268,0.58934,1.29531,0.00343611,0.00343611,0.00343611
40,6469.4,0.86819,0.62548,1.24098,0.83563,0.77619,0.80705,0.63904,0.94688,0.59861,1.31126,0.00336338,0.00336338,0.00336338
